matchId,videoTimestamp,postShotXg,xg,videoPath
5228140,4320,0.6954,0.5722,video/competition-198/season-187389/match-5228140/goal-s4307-e4354.mp4
5228141,490,0.2464,0.2091,video/competition-198/season-187389/match-5228141/goal-s478-e525.mp4
5228141,869,0.81,0.76,video/competition-198/season-187389/match-5228141/goal-s857-e904.mp4
5228141,2242,0.5225,0.1766,video/competition-198/season-187389/match-5228141/goal-s2229-e2276.mp4
5228141,3901,0.6499,0.1704,video/competition-198/season-187389/match-5228141/goal-s3888-e3935.mp4
5228141,4142,0.1219,0.1281,video/competition-198/season-187389/match-5228141/goal-s4130-e4177.mp4
5228141,4193,0.7327,0.5871,video/competition-198/season-187389/match-5228141/goal-s4180-e4227.mp4
5228142,2806,0.81,0.76,video/competition-198/season-187389/match-5228142/goal-s2794-e2841.mp4
5228142,3441,0.8462,0.4148,video/competition-198/season-187389/match-5228142/goal-s3429-e3476.mp4
5228142,4713,0.5222,0.3081,video/competition-198/season-187389/match-5228142/goal-s4700-e4747.mp4
5228143,5191,0.5927,0.3515,video/competition-198/season-187389/match-5228143/goal-s5178-e5225.mp4
5228144,292,0.5629,0.08933,video/competition-198/season-187389/match-5228144/goal-s280-e327.mp4
5228144,5107,0.6577,0.5048,video/competition-198/season-187389/match-5228144/goal-s5095-e5142.mp4
5228145,1386,0.8042,0.4436,video/competition-198/season-187389/match-5228145/goal-s1373-e1420.mp4
5228145,3696,0.07034,0.07281,video/competition-198/season-187389/match-5228145/goal-s3683-e3730.mp4
5228145,5164,0.9494,0.3227,video/competition-198/season-187389/match-5228145/goal-s5152-e5199.mp4
5228146,1327,0.7439,0.3529,video/competition-198/season-187389/match-5228146/goal-s1315-e1362.mp4
5228146,2163,0.5367,0.07399,video/competition-198/season-187389/match-5228146/goal-s2151-e2198.mp4
5228146,3013,0.7856,0.4655,video/competition-198/season-187389/match-5228146/goal-s3000-e3047.mp4
5228146,3453,0.8106,0.6375,video/competition-198/season-187389/match-5228146/goal-s3441-e3488.mp4
5228146,3715,0.8527,0.7125,video/competition-198/season-187389/match-5228146/goal-s3702-e3749.mp4
5228146,4502,0.2083,0.06575,video/competition-198/season-187389/match-5228146/goal-s4490-e4537.mp4
5228146,5177,0.8395,0.225,video/competition-198/season-187389/match-5228146/goal-s5165-e5212.mp4
5228146,5292,0.7496,0.1572,video/competition-198/season-187389/match-5228146/goal-s5280-e5327.mp4
5228146,5496,0.3269,0.06926,video/competition-198/season-187389/match-5228146/goal-s5484-e5531.mp4
5228147,4421,0.81,0.76,video/competition-198/season-187389/match-5228147/goal-s4409-e4456.mp4
5228147,5703,0.3798,0.215,video/competition-198/season-187389/match-5228147/goal-s5690-e5737.mp4
