matchId,videoTimestamp,postShotXg,xg,videoPath
5228235,2524.602431,0.6593,0.4499,
5228235,2619.590182,0.08567,0.1277,
5228235,2744.700822,0.6987,0.2988,
5228236,1461.597689,0.8118,0.73,
5228236,1578.056821,0.9232,0.728,
5228236,3956.725409,0.5028,0.2719,
5228236,4686.510189,0.7925,0.1495,
5228236,5168.233785,0.7213,0.2037,
5228237,1303.482212,0.7066,0.6361,
5228237,2235.761704,0.8578,0.7153,
5228237,3703.906446,0.1266,0.1217,
5228238,605.946014,0.4253,0.06341,
5228239,1681.41944,0.5355,0.14,
5228239,4662.333412,0.893,0.8102,
5228240,2537.809579,0.6698,0.2263,
5228240,3260.645645,0.5661,0.2823,
5228241,1866.190985,0.7887,0.2416,
5228241,3944.04352,0.08753,0.03094,
5228241,4514.630156,0.3797,0.06594,
5228242,3576.784472,0.68,0.08345,
5228243,784.032157,0.5318,0.09501,
5228243,4670.981516,0.4528,0.07931,
5228243,5118.662028,0.3898,0.122,
5228244,731.409375,0.5077,0.1113,
5228244,3291.266762,0.6317,0.2757,
5228244,4492.615649,0.5017,0.2181,
5228245,1722.440907,0.1587,0.03075,
5228246,3559.325303,0.05731,0.04563,
5228246,4096.257488,0.5039,0.1939,
5228246,4804.753427,0.4891,0.4088,
5228246,5376.408593,0.3124,0.143,
5228246,5526.514438,0.5693,0.1727,
5228247,4148.296601,0.117,0.02601,
5228247,4710.098698,0.4434,0.07007,
5228247,5699.864172,0.8587,0.1986,
5228248,950.228705,0.6898,0.2657,
5228248,1079.978943,0.7724,0.2618,
5228248,2594.147884,0.6882,0.1249,
5228248,4421.676426,0.729,0.1776,
5228248,5161.237367,0.81,0.76,
5228249,2062.078059,0.7721,0.5896,
5228249,3318.810359,0.1353,0.05002,
5228250,3079.873095,0.1167,0.1286,
5228250,3552.79654,0.81,0.76,
5228250,4597.546116,0.06725,0.06677,
5228251,4928.53971,0.5066,0.1627,
5228252,2072.061475,0.4726,0.3574,
5228253,3636.291309,0.8936,0.6156,
5228253,5790.574843,0.8809,0.5043,
5228254,1993.48057,0.5588,0.04662,
5228255,1588.892949,0.05187,0.0558,
